,name,lat,lng,category,mode,dist,time
230,Jyoti Indian Bistro,40.06044970000001,-75.1915257,restaurant,transit,-1.0,6.0
231,Jansen,40.062681,-75.19319499999997,restaurant,transit,-1.0,7.0
232,Hokka Hokka Japanese Restaurant,40.069058,-75.199519,restaurant,transit,-1.0,10.0
236,Trattoria Moma,40.0593149,-75.19004709999999,restaurant,transit,-1.0,6.0
239,Herb Scott's Catering,40.0493015,-75.18382679999998,restaurant,transit,-1.0,7.0
241,Blunile Chefs Servsafe Training,40.046994299999994,-75.1949396,restaurant,transit,-1.0,7.0
244,Wawa,40.060808,-75.19194999999998,restaurant,transit,-1.0,7.0
247,Macaroni's Outdoor Cafe,40.052077600000004,-75.18391249999998,restaurant,transit,-1.0,8.0
248,Evo Brick Oven Pizza,40.05461,-75.19397,restaurant,transit,-1.0,4.0
249,Rita's Italian Ice & Frozen Custard,40.067809999999994,-75.179316,restaurant,transit,-1.0,9.0
250,Cresheim Valley Grain Exchange,40.0596009,-75.1907583,restaurant,transit,-1.0,6.0
252,Yu Hsiang Garden,40.067145000000004,-75.19717,restaurant,transit,-1.0,10.0
253,Baker Street Bread Co. Cafe & Bakery,40.07117249999999,-75.20083309999998,restaurant,transit,-1.0,11.0
254,Hong Kong Restaurant,40.05321349999999,-75.1859116,restaurant,transit,-1.0,6.0
261,Christine Belton,40.0542766,-75.1868872,entertainment,transit,-1.0,5.0
262,Little Free Library,40.04332,-75.181223,entertainment,transit,-1.0,10.0
266,Lovett Memorial Library,40.05677539999999,-75.18769,entertainment,transit,-1.0,5.0
268,Allens Lane Art Center,40.0519751,-75.2031554,entertainment,transit,-1.0,9.0
269,Beatrice Golden Arts,40.069996,-75.19769579999998,entertainment,transit,-1.0,11.0
270,McCarty Fine Art and Antiques,40.069487,-75.197339,entertainment,transit,-1.0,11.0
274,Cliveden of the National Trust,40.0480831,-75.18130529999998,entertainment,transit,-1.0,9.0
276,Mount Airy Contemporary,40.05947159999999,-75.19167399999998,entertainment,transit,-1.0,7.0
277,Mt. Airy Art Garage,40.050981,-75.1851135,entertainment,transit,-1.0,7.0
278,"Lucien Crump Gallery Art Education Resource Center, Inc.",40.045691,-75.18226190000001,entertainment,transit,-1.0,8.0
279,Wendy Concannon Photography,40.071025399999996,-75.2006694,entertainment,transit,-1.0,11.0
280,McCarty Gallery,40.06934520000001,-75.1974323,entertainment,transit,-1.0,11.0
284,Johnson House Historic Site,40.0433454,-75.1812599,entertainment,transit,-1.0,10.0
285,DHEx Enterprises LLC,40.0451506,-75.18170400000002,entertainment,transit,-1.0,9.0
289,Ned Wolf Park,40.049055700000004,-75.19650250000002,entertainment,transit,-1.0,5.0
294,Johnson House Historic Site,40.0433454,-75.1812599,entertainment,transit,-1.0,10.0
295,Lovett Park,40.0567982,-75.18768829999998,entertainment,transit,-1.0,5.0
297,Chestnut Hill Friends Meeting Skyspace,40.0683476,-75.1961469,entertainment,transit,-1.0,11.0
298,Cliveden of the National Trust,40.0480831,-75.18130529999998,entertainment,transit,-1.0,9.0
